"dose","risk","risk_log10","abfail","dataset","scenario","curve","fr"
5.5,0.00179259495083717,-2.74651783117899,"Untreatable","Dataset 2","Varying %MIC","2.5% MIC",0.05
6,0.00565770443901203,-2.2473597440227,"Untreatable","Dataset 2","Varying %MIC","2.5% MIC",0.05
6.5,0.0177820357332222,-1.75001852136942,"Untreatable","Dataset 2","Varying %MIC","2.5% MIC",0.05
7,0.0551581299123947,-1.25839046661685,"Untreatable","Dataset 2","Varying %MIC","2.5% MIC",0.05
7.5,0.164245489866148,-0.784506547205853,"Untreatable","Dataset 2","Varying %MIC","2.5% MIC",0.05
8,0.432989233732142,-0.363522902235207,"Untreatable","Dataset 2","Varying %MIC","2.5% MIC",0.05
2,9.13878346331387e-08,-7.0391116128366,"Treatable","Dataset 1","Varying resistant fraction","fr = 0",0
2.5,2.88993679320448e-07,-6.53911165574265,"Treatable","Dataset 1","Varying resistant fraction","fr = 0",0
3,9.13877970520893e-07,-6.0391117914298,"Treatable","Dataset 1","Varying resistant fraction","fr = 0",0
3.5,2.88993303498852e-06,-5.53911222052093,"Treatable","Dataset 1","Varying resistant fraction","fr = 0",0
4,9.13874212260524e-06,-5.03911357743969,"Treatable","Dataset 1","Varying resistant fraction","fr = 0",0
4.5,2.88989545255136e-05,-4.53911786838578,"Treatable","Dataset 1","Varying resistant fraction","fr = 0",0
5,9.13836630698217e-05,-4.03913143744768,"Treatable","Dataset 1","Varying resistant fraction","fr = 0",0
5.5,0.000288951966420647,-3.53917434565951,"Treatable","Dataset 1","Varying resistant fraction","fr = 0",0
6,0.00091346092843636,-3.03931002403928,"Treatable","Dataset 1","Varying resistant fraction","fr = 0",0
6.5,0.00288576536205642,-2.53973898374384,"Treatable","Dataset 1","Varying resistant fraction","fr = 0",0
7,0.00909715211347051,-2.04109454339096,"Treatable","Dataset 1","Varying resistant fraction","fr = 0",0
7.5,0.0284857790242422,-1.54537189903323,"Treatable","Dataset 1","Varying resistant fraction","fr = 0",0
8,0.0873363241456057,-1.05880509083092,"Treatable","Dataset 1","Varying resistant fraction","fr = 0",0
2,1.01173955324718e-07,-6.9949312712364,"Treatable","Dataset 1","Varying resistant fraction","fr = 0.01",0.01
