"dose","risk","risk_log10","abfail","alpha_s","beta_s","model","panel","variable"
2,1.06166034496979e-06,-5.97401440406359,"Untreatable",0.162652794282453,31261235.6088361,"Beta-Poisson","B","0.5"
2.5,3.35724892408518e-06,-5.47401645668207,"Untreatable",0.162652794282453,31261235.6088361,"Beta-Poisson","B","0.5"
3,1.0616394601759e-05,-4.9740229475116,"Untreatable",0.162652794282453,31261235.6088361,"Beta-Poisson","B","0.5"
3.5,3.35704008916915e-05,-4.4740434724544,"Untreatable",0.162652794282453,31261235.6088361,"Beta-Poisson","B","0.5"
4,0.000106143066563091,-3.97410836938997,"Untreatable",0.162652794282453,31261235.6088361,"Beta-Poisson","B","0.5"
4.5,0.0003354953419068,-3.47431350529593,"Untreatable",0.162652794282453,31261235.6088361,"Beta-Poisson","B","0.5"
5,0.00105934801836483,-2.97496134147328,"Untreatable",0.162652794282453,31261235.6088361,"Beta-Poisson","B","0.5"
5.5,0.00333425315715241,-2.47700142892901,"Untreatable",0.162652794282453,31261235.6088361,"Beta-Poisson","B","0.5"
6,0.010390371172031,-1.98336893799762,"Untreatable",0.162652794282453,31261235.6088361,"Beta-Poisson","B","0.5"
6.5,0.0314256054708455,-1.50271634609661,"Untreatable",0.162652794282453,31261235.6088361,"Beta-Poisson","B","0.5"
7,0.0876417239004991,-1.05728908851536,"Untreatable",0.162652794282453,31261235.6088361,"Beta-Poisson","B","0.5"
7.5,0.205361905837441,-0.687480113898148,"Untreatable",0.162652794282453,31261235.6088361,"Beta-Poisson","B","0.5"
8,0.374586492700935,-0.426447887001391,"Untreatable",0.162652794282453,31261235.6088361,"Beta-Poisson","B","0.5"
2,5.87031330101517e-07,-6.23133871966021,"Untreatable",0.169926723849183,821251892.091713,"Beta-Poisson","B","1"
2.5,1.85634799620971e-06,-5.73134060642167,"Untreatable",0.169926723849183,821251892.091713,"Beta-Poisson","B","1"
3,5.87020715481223e-06,-5.23134657258468,"Untreatable",0.169926723849183,821251892.091713,"Beta-Poisson","B","1"
3.5,1.85624185728983e-05,-4.7313654384387,"Untreatable",0.169926723849183,821251892.091713,"Beta-Poisson","B","1"
4,5.86914596858445e-05,-4.23142508923196,"Untreatable",0.169926723849183,821251892.091713,"Beta-Poisson","B","1"
4.5,0.000185518131316842,-3.73161363890042,"Untreatable",0.169926723849183,821251892.091713,"Beta-Poisson","B","1"
5,0.000585856078189062,-3.23220905996336,"Untreatable",0.169926723849183,821251892.091713,"Beta-Poisson","B","1"
5.5,0.00184465966700775,-2.73408374786504,"Untreatable",0.169926723849183,821251892.091713,"Beta-Poisson","B","1"
6,0.0057553040553564,-2.23993172745117,"Untreatable",0.169926723849183,821251892.091713,"Beta-Poisson","B","1"
6.5,0.0174714507985484,-1.75767103046967,"Untreatable",0.169926723849183,821251892.091713,"Beta-Poisson","B","1"
7,0.0492618025055009,-1.30748970122873,"Untreatable",0.169926723849183,821251892.091713,"Beta-Poisson","B","1"
