"dose","risk","outcome","variable","scenario","model","dataset","panel"
3.5,-5.49493194410001,"Higher treatability","0.01","Varying resistant fraction","Exponential","Dataset 1","B"
4,-4.99493344631241,"Higher treatability","0.01","Varying resistant fraction","Exponential","Dataset 1","B"
4.5,-4.49493819674592,"Higher treatability","0.01","Varying resistant fraction","Exponential","Dataset 1","B"
5,-3.99495321881255,"Higher treatability","0.01","Varying resistant fraction","Exponential","Dataset 1","B"
5.5,-3.49500072162105,"Higher treatability","0.01","Varying resistant fraction","Exponential","Dataset 1","B"
6,-2.99515092729214,"Higher treatability","0.01","Varying resistant fraction","Exponential","Dataset 1","B"
6.5,-2.49562580534076,"Higher treatability","0.01","Varying resistant fraction","Exponential","Dataset 1","B"
7,-1.9971263616925,"Higher treatability","0.01","Varying resistant fraction","Exponential","Dataset 1","B"
7.5,-1.50186013873097,"Higher treatability","0.01","Varying resistant fraction","Exponential","Dataset 1","B"
8,-1.01671568183367,"Higher treatability","0.01","Varying resistant fraction","Exponential","Dataset 1","B"
2,-6.85288526159483,"Higher treatability","0.05","Varying resistant fraction","Exponential","Dataset 1","B"
2.5,-6.35288532729856,"Higher treatability","0.05","Varying resistant fraction","Exponential","Dataset 1","B"
3,-5.85288553566709,"Higher treatability","0.05","Varying resistant fraction","Exponential","Dataset 1","B"
3.5,-5.35288619452433,"Higher treatability","0.05","Varying resistant fraction","Exponential","Dataset 1","B"
4,-4.85288827795928,"Higher treatability","0.05","Varying resistant fraction","Exponential","Dataset 1","B"
4.5,-4.35289486633497,"Higher treatability","0.05","Varying resistant fraction","Exponential","Dataset 1","B"
5,-3.85291570039268,"Higher treatability","0.05","Varying resistant fraction","Exponential","Dataset 1","B"
5.5,-3.3529815812751,"Higher treatability","0.05","Varying resistant fraction","Exponential","Dataset 1","B"
6,-2.85318989299227,"Higher treatability","0.05","Varying resistant fraction","Exponential","Dataset 1","B"
6.5,-2.35384841322337,"Higher treatability","0.05","Varying resistant fraction","Exponential","Dataset 1","B"
7,-1.85592864445879,"Higher treatability","0.05","Varying resistant fraction","Exponential","Dataset 1","B"
7.5,-1.36248498792591,"Higher treatability","0.05","Varying resistant fraction","Exponential","Dataset 1","B"
8,-0.882998763859859,"Higher treatability","0.05","Varying resistant fraction","Exponential","Dataset 1","B"
2,-6.72296632175098,"Lower treatability","0.1","Varying resistant fraction","Exponential","Dataset 1","B"
2.5,-6.22296641051594,"Lower treatability","0.1","Varying resistant fraction","Exponential","Dataset 1","B"
3,-5.72296669153502,"Lower treatability","0.1","Varying resistant fraction","Exponential","Dataset 1","B"
3.5,-5.2229675801349,"Lower treatability","0.1","Varying resistant fraction","Exponential","Dataset 1","B"
4,-4.72297039008322,"Lower treatability","0.1","Varying resistant fraction","Exponential","Dataset 1","B"
4.5,-4.22297927588452,"Lower treatability","0.1","Varying resistant fraction","Exponential","Dataset 1","B"
5,-3.72300737485976,"Lower treatability","0.1","Varying resistant fraction","Exponential","Dataset 1","B"
5.5,-3.223096227633,"Lower treatability","0.1","Varying resistant fraction","Exponential","Dataset 1","B"
6,-2.72337716488923,"Lower treatability","0.1","Varying resistant fraction","Exponential","Dataset 1","B"
6.5,-2.22426516766269,"Lower treatability","0.1","Varying resistant fraction","Exponential","Dataset 1","B"
7,-1.7270692906527,"Lower treatability","0.1","Varying resistant fraction","Exponential","Dataset 1","B"
7.5,-1.23589682438301,"Lower treatability","0.1","Varying resistant fraction","Exponential","Dataset 1","B"
8,-0.763413286307795,"Lower treatability","0.1","Varying resistant fraction","Exponential","Dataset 1","B"
2,-4.88272838118463,"Higher treatability","0","Varying %MIC","Beta-Poisson","Dataset 2","C"
2.5,-4.38277008359018,"Higher treatability","0","Varying %MIC","Beta-Poisson","Dataset 2","C"
