"dose","riskbp","riskbp_log10","abfailbp","alpha_s","beta_s","antibiotic","pMIC","fr","scenario"
5,0.00337738767407314,-2.47141908593033,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.01","Varying resistant fraction"
5.5,0.0105952013723098,-1.97489078467741,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.01","Varying resistant fraction"
6,0.0326839498296908,-1.48566546482067,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.01","Varying resistant fraction"
6.5,0.0959695846580059,-1.01786638475366,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.01","Varying resistant fraction"
7,0.248339507035946,-0.604954185307006,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.01","Varying resistant fraction"
7.5,0.50475275398546,-0.29692130282033,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.01","Varying resistant fraction"
8,0.763109606613713,-0.11741307917643,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.01","Varying resistant fraction"
8.5,0.917018188443627,-0.0376220503034094,"Less likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.01","Varying resistant fraction"
9,0.976553508909021,-0.010303955154166,"Less likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.01","Varying resistant fraction"
1,5.10357649141646e-07,-6.29212537172264,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.05","Varying resistant fraction"
1.5,1.61389098007891e-06,-5.792125805642,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.05","Varying resistant fraction"
2,5.10355526572859e-06,-5.29212717794977,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.05","Varying resistant fraction"
2.5,1.61386975450206e-05,-4.79213151743519,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.05","Varying resistant fraction"
3,5.10334301818682e-05,-4.2921452398396,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.05","Varying resistant fraction"
3.5,0.000161365752944898,-3.79218863123254,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.05","Varying resistant fraction"
4,0.000510122148027814,-3.29232582024954,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.05","Varying resistant fraction"
4.5,0.00161153824226601,-2.79275938409639,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.05","Varying resistant fraction"
5,0.00508009949987753,-2.2941277814514,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.05","Varying resistant fraction"
5.5,0.0159063764979903,-1.79842874217344,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.05","Varying resistant fraction"
6,0.0487782671706052,-1.3117736318946,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.05","Varying resistant fraction"
6.5,0.140729367770828,-0.851615263404433,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.05","Varying resistant fraction"
7,0.347627154232872,-0.458886306812286,"Less likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.05","Varying resistant fraction"
7.5,0.643868658475937,-0.191202714498233,"Less likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.05","Varying resistant fraction"
8,0.867546471425153,-0.0617072522800819,"Less likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.05","Varying resistant fraction"
