"dose","riskbp","riskbp_log10","abfailbp","alpha_s","beta_s","antibiotic","pMIC","fr","scenario"
8,0.741218447589189,-0.130053780412921,"Less likely treatable",0.58372060549355,422263954.954279,"Cefepime","2.5",0.09,"Varying %MIC"
8.5,0.886668874778954,-0.0522385365437223,"Less likely treatable",0.58372060549355,422263954.954279,"Cefepime","2.5",0.09,"Varying %MIC"
9,0.959934411020914,-0.0177584397779384,"Less likely treatable",0.58372060549355,422263954.954279,"Cefepime","2.5",0.09,"Varying %MIC"
1,4.72044681765205e-06,-5.32601689093023,"More likely treatable",0.583518213372158,1227025.54420564,"Doxycycline","0",0.2,"Varying %MIC"
1.5,1.49271977558652e-05,-4.82602171360047,"More likely treatable",0.583518213372158,1227025.54420564,"Doxycycline","0",0.2,"Varying %MIC"
2,4.72022864548283e-05,-4.32603696385183,"More likely treatable",0.583518213372158,1227025.54420564,"Doxycycline","0",0.2,"Varying %MIC"
2.5,0.000149250163197556,-3.82608518531913,"More likely treatable",0.583518213372158,1227025.54420564,"Doxycycline","0",0.2,"Varying %MIC"
3,0.000471804811571386,-3.32623763439522,"More likely treatable",0.583518213372158,1227025.54420564,"Doxycycline","0",0.2,"Varying %MIC"
3.5,0.0014903239636006,-2.82671931527168,"More likely treatable",0.583518213372158,1227025.54420564,"Doxycycline","0",0.2,"Varying %MIC"
4,0.00469636144510477,-2.32823848595682,"More likely treatable",0.583518213372158,1227025.54420564,"Doxycycline","0",0.2,"Varying %MIC"
4.5,0.0146891730094457,-1.83300265400854,"More likely treatable",0.583518213372158,1227025.54420564,"Doxycycline","0",0.2,"Varying %MIC"
5,0.0449071076688816,-1.3476849156319,"More likely treatable",0.583518213372158,1227025.54420564,"Doxycycline","0",0.2,"Varying %MIC"
5.5,0.128616338542179,-0.890703858099242,"More likely treatable",0.583518213372158,1227025.54420564,"Doxycycline","0",0.2,"Varying %MIC"
6,0.314880449795513,-0.501854302874102,"More likely treatable",0.583518213372158,1227025.54420564,"Doxycycline","0",0.2,"Varying %MIC"
6.5,0.58905870013571,-0.229841425289676,"More likely treatable",0.583518213372158,1227025.54420564,"Doxycycline","0",0.2,"Varying %MIC"
7,0.823321954997029,-0.0844303033824456,"Less likely treatable",0.583518213372158,1227025.54420564,"Doxycycline","0",0.2,"Varying %MIC"
7.5,0.942215811773507,-0.0258496119335269,"Less likely treatable",0.583518213372158,1227025.54420564,"Doxycycline","0",0.2,"Varying %MIC"
8,0.983755163271897,-0.00711297521777489,"Less likely treatable",0.583518213372158,1227025.54420564,"Doxycycline","0",0.2,"Varying %MIC"
8.5,0.995706837156407,-0.00186851071937392,"Less likely treatable",0.583518213372158,1227025.54420564,"Doxycycline","0",0.2,"Varying %MIC"
9,0.998889555159545,-0.000482528026657344,"Less likely treatable",0.583518213372158,1227025.54420564,"Doxycycline","0",0.2,"Varying %MIC"
1,2.77882919008654e-06,-5.55613814774682,"More likely treatable",0.58403770967583,2508206.01250027,"Doxycycline","0.5",0.2,"Varying %MIC"
1.5,8.78737797493923e-06,-5.05614069271789,"More likely treatable",0.58403770967583,2508206.01250027,"Doxycycline","0.5",0.2,"Varying %MIC"
2,2.77876141339117e-05,-4.55614874048274,"More likely treatable",0.58403770967583,2508206.01250027,"Doxycycline","0.5",0.2,"Varying %MIC"
2.5,8.78670025322714e-05,-4.05617418873358,"More likely treatable",0.58403770967583,2508206.01250027,"Doxycycline","0.5",0.2,"Varying %MIC"
3,0.000277808383240319,-3.55625465298257,"More likely treatable",0.58403770967583,2508206.01250027,"Doxycycline","0.5",0.2,"Varying %MIC"
3.5,0.000877992889122048,-3.05650900143736,"More likely treatable",0.58403770967583,2508206.01250027,"Doxycycline","0.5",0.2,"Varying %MIC"
4,0.00277132650007039,-2.55731230538855,"More likely treatable",0.58403770967583,2508206.01250027,"Doxycycline","0.5",0.2,"Varying %MIC"
4.5,0.00871279565369576,-2.05984247160956,"More likely treatable",0.58403770967583,2508206.01250027,"Doxycycline","0.5",0.2,"Varying %MIC"
5,0.0270555019357406,-1.56774440459223,"More likely treatable",0.58403770967583,2508206.01250027,"Doxycycline","0.5",0.2,"Varying %MIC"
5.5,0.0809474955216868,-1.09179658357444,"More likely treatable",0.58403770967583,2508206.01250027,"Doxycycline","0.5",0.2,"Varying %MIC"
6,0.218807366259757,-0.659938061350883,"More likely treatable",0.58403770967583,2508206.01250027,"Doxycycline","0.5",0.2,"Varying %MIC"
6.5,0.474650127156092,-0.323626398445489,"More likely treatable",0.58403770967583,2508206.01250027,"Doxycycline","0.5",0.2,"Varying %MIC"
7,0.751630684105837,-0.123995498840487,"Less likely treatable",0.58403770967583,2508206.01250027,"Doxycycline","0.5",0.2,"Varying %MIC"
7.5,0.914788060483655,-0.0386795122986771,"Less likely treatable",0.58403770967583,2508206.01250027,"Doxycycline","0.5",0.2,"Varying %MIC"
8,0.975613511107967,-0.0107221938451834,"Less likely treatable",0.58403770967583,2508206.01250027,"Doxycycline","0.5",0.2,"Varying %MIC"
8.5,0.993518907407502,-0.00282386352687841,"Less likely treatable",0.58403770967583,2508206.01250027,"Doxycycline","0.5",0.2,"Varying %MIC"
9,0.998321278254659,-0.000729672220466064,"Less likely treatable",0.58403770967583,2508206.01250027,"Doxycycline","0.5",0.2,"Varying %MIC"
1,1.84338708586473e-06,-5.73438345935308,"More likely treatable",0.583509643881879,5033728.78669542,"Doxycycline","1",0.2,"Varying %MIC"
1.5,5.82928036318986e-06,-5.23438505649079,"More likely treatable",0.583509643881879,5033728.78669542,"Doxycycline","1",0.2,"Varying %MIC"
2,1.84335886945775e-05,-4.7343901070744,"More likely treatable",0.583509643881879,5033728.78669542,"Doxycycline","1",0.2,"Varying %MIC"
2.5,5.82899820965599e-05,-4.23440607807164,"More likely treatable",0.583509643881879,5033728.78669542,"Doxycycline","1",0.2,"Varying %MIC"
3,0.000184307675094142,-3.73445657915081,"More likely treatable",0.583509643881879,5033728.78669542,"Doxycycline","1",0.2,"Varying %MIC"
3.5,0.000582617813337682,-3.23461624110212,"More likely treatable",0.583509643881879,5033728.78669542,"Doxycycline","1",0.2,"Varying %MIC"
4,0.00184026017624817,-2.73512077203338,"More likely treatable",0.583509643881879,5033728.78669542,"Doxycycline","1",0.2,"Varying %MIC"
4.5,0.00579812260090506,-2.23671260575687,"More likely treatable",0.583509643881879,5033728.78669542,"Doxycycline","1",0.2,"Varying %MIC"
5,0.0181254809487882,-1.74171046085994,"More likely treatable",0.583509643881879,5033728.78669542,"Doxycycline","1",0.2,"Varying %MIC"
5.5,0.0553137884040285,-1.2571665959763,"Less likely treatable",0.583509643881879,5033728.78669542,"Doxycycline","1",0.2,"Varying %MIC"
